id_mes,data_referencia,matricula,id_area,grade,salario,valor_horas_extras,remuneracao_bruta,encargos,provisao_13o,provisao_ferias,vale_refeicao,vale_transporte,plano_saude,seguro_vida,beneficios_total,custo_total,fator_custo_sobre_salario
202101.0,2021-01-01,100001.0,4.0,6.0,19011.13,1555.46,20566.59,7362.84,2327.45,3103.27,882.0,320.0,720.0,34.0,1956.0,35316.15,1.86
202101.0,2021-01-01,100002.0,2.0,3.0,7440.14,375.39,7815.53,2797.96,884.46,1179.28,882.0,320.0,720.0,34.0,1956.0,14633.22,1.97
202101.0,2021-01-01,100003.0,2.0,2.0,4471.03,387.15,4858.18,1739.23,549.78,733.05,882.0,160.0,380.0,34.0,1456.0,9336.24,2.09
202101.0,2021-01-01,100004.0,4.0,5.0,10813.63,66.36,10879.99,3895.04,1231.25,1641.67,882.0,320.0,720.0,34.0,1956.0,19603.94,1.81
202101.0,2021-01-01,100005.0,7.0,3.0,8711.76,136.62,8848.38,3167.72,1001.34,1335.12,882.0,0.0,380.0,34.0,1296.0,15648.56,1.8
202101.0,2021-01-01,100006.0,5.0,1.0,2072.38,200.64,2273.02,813.74,257.23,342.97,882.0,320.0,380.0,34.0,1616.0,5302.97,2.56
202101.0,2021-01-01,100007.0,4.0,3.0,5522.14,169.43,5691.57,2037.58,644.1,858.79,882.0,320.0,520.0,34.0,1756.0,10988.04,1.99
202101.0,2021-01-01,100008.0,1.0,4.0,11515.85,345.48,11861.33,4246.35,1342.31,1789.74,882.0,320.0,1150.0,34.0,2386.0,21625.73,1.88
202101.0,2021-01-01,100009.0,11.0,6.0,21041.55,2424.56,23466.11,8400.87,2655.58,3540.78,882.0,160.0,720.0,34.0,1796.0,39859.33,1.89
202101.0,2021-01-01,100010.0,2.0,2.0,4229.75,294.16,4523.91,1619.56,511.96,682.61,882.0,160.0,380.0,34.0,1456.0,8794.03,2.08
202101.0,2021-01-01,100011.0,12.0,1.0,3716.03,124.15,3840.18,1374.78,434.58,579.44,882.0,160.0,380.0,34.0,1456.0,7684.98,2.07
202101.0,2021-01-01,100012.0,4.0,3.0,4778.23,462.62,5240.85,1876.22,593.09,790.79,882.0,320.0,380.0,34.0,1616.0,10116.95,2.12
202101.0,2021-01-01,100013.0,1.0,1.0,3107.13,72.03,3179.16,1138.14,359.77,479.7,882.0,160.0,520.0,34.0,1596.0,6752.77,2.17
202101.0,2021-01-01,100014.0,1.0,7.0,17282.49,883.76,18166.25,6503.52,2055.81,2741.09,882.0,160.0,520.0,34.0,1596.0,31062.67,1.8
202101.0,2021-01-01,100015.0,4.0,2.0,3599.07,382.81,3981.88,1425.51,450.62,600.82,882.0,320.0,520.0,34.0,1756.0,8214.83,2.28
202101.0,2021-01-01,100016.0,6.0,1.0,2741.36,231.77,2973.13,1064.38,336.46,448.61,882.0,320.0,380.0,34.0,1616.0,6438.58,2.35
202101.0,2021-01-01,100017.0,8.0,5.0,18196.45,161.29,18357.74,6572.07,2077.48,2769.98,882.0,0.0,720.0,34.0,1636.0,31413.27,1.73
202101.0,2021-01-01,100018.0,7.0,3.0,8546.48,1247.01,9793.49,3506.07,1108.3,1477.73,882.0,0.0,520.0,34.0,1436.0,17321.58,2.03
202101.0,2021-01-01,100019.0,3.0,5.0,10663.74,523.49,11187.23,4005.03,1266.02,1688.03,882.0,320.0,720.0,34.0,1956.0,20102.31,1.89
202101.0,2021-01-01,100020.0,1.0,2.0,4533.9,581.16,5115.06,1831.19,578.85,771.81,882.0,320.0,380.0,34.0,1616.0,9912.92,2.19
202101.0,2021-01-01,100021.0,7.0,7.0,33618.29,5867.92,39486.21,14136.06,4468.52,5958.03,882.0,160.0,1150.0,34.0,2226.0,66274.83,1.97
202101.0,2021-01-01,100022.0,2.0,4.0,8781.46,341.28,9122.74,3265.94,1032.39,1376.52,882.0,320.0,520.0,34.0,1756.0,16553.59,1.89
202101.0,2021-01-01,100023.0,6.0,5.0,8904.81,127.5,9032.31,3233.57,1022.16,1362.88,882.0,320.0,520.0,34.0,1756.0,16406.91,1.84
202101.0,2021-01-01,100025.0,2.0,1.0,3174.26,73.59,3247.85,1162.73,367.55,490.06,882.0,320.0,380.0,34.0,1616.0,6884.19,2.17
202101.0,2021-01-01,100026.0,5.0,3.0,5172.42,1029.78,6202.2,2220.39,701.88,935.84,882.0,320.0,520.0,34.0,1756.0,11816.32,2.28
202101.0,2021-01-01,100027.0,4.0,4.0,7871.38,322.01,8193.39,2933.23,927.22,1236.29,882.0,320.0,720.0,34.0,1956.0,15246.14,1.94
202101.0,2021-01-01,100028.0,12.0,4.0,10413.98,85.21,10499.19,3758.71,1188.16,1584.21,882.0,160.0,720.0,34.0,1796.0,18826.26,1.81
202101.0,2021-01-01,100029.0,14.0,4.0,9374.3,242.88,9617.18,3442.95,1088.34,1451.13,882.0,320.0,520.0,34.0,1756.0,17355.6,1.85
202101.0,2021-01-01,100030.0,11.0,5.0,12750.85,373.83,13124.68,4698.64,1485.28,1980.37,882.0,160.0,1150.0,34.0,2226.0,23514.96,1.84
202101.0,2021-01-01,100032.0,3.0,2.0,3529.66,156.43,3686.09,1319.62,417.14,556.19,882.0,160.0,520.0,34.0,1596.0,7575.04,2.15
202101.0,2021-01-01,100033.0,1.0,7.0,20237.86,703.73,20941.59,7497.09,2369.89,3159.85,882.0,320.0,720.0,34.0,1956.0,35924.42,1.78
202101.0,2021-01-01,100034.0,5.0,2.0,3964.17,108.11,4072.28,1457.88,460.85,614.46,882.0,320.0,520.0,34.0,1756.0,8361.47,2.11
202101.0,2021-01-01,100035.0,2.0,1.0,2393.33,287.2,2680.53,959.63,303.35,404.46,882.0,320.0,520.0,34.0,1756.0,6103.97,2.55
202101.0,2021-01-01,100036.0,2.0,3.0,5924.85,68.67,5993.52,2145.68,678.27,904.36,882.0,320.0,380.0,34.0,1616.0,11337.83,1.91
202101.0,2021-01-01,100037.0,15.0,3.0,6008.7,770.21,6778.91,2426.85,767.15,1022.86,882.0,320.0,520.0,34.0,1756.0,12751.76,2.12
202101.0,2021-01-01,100038.0,7.0,6.0,22684.37,216.53,22900.9,8198.52,2591.62,3455.49,882.0,320.0,520.0,34.0,1756.0,38902.54,1.71
202101.0,2021-01-01,100039.0,11.0,3.0,6705.26,480.04,7185.3,2572.34,813.14,1084.18,882.0,0.0,520.0,34.0,1436.0,13090.95,1.95
202101.0,2021-01-01,100040.0,6.0,6.0,12900.33,105.55,13005.88,4656.1,1471.83,1962.44,882.0,320.0,720.0,34.0,1956.0,23052.26,1.79
202101.0,2021-01-01,100041.0,7.0,4.0,9610.8,39.32,9650.12,3454.74,1092.07,1456.1,882.0,0.0,520.0,34.0,1436.0,17089.03,1.78
202101.0,2021-01-01,100042.0,5.0,4.0,8510.87,470.03,8980.9,3215.16,1016.34,1355.12,882.0,320.0,520.0,34.0,1756.0,16323.52,1.92
202101.0,2021-01-01,100044.0,2.0,2.0,5031.44,428.82,5460.26,1954.77,617.92,823.89,882.0,160.0,520.0,34.0,1596.0,10452.84,2.08
202101.0,2021-01-01,100045.0,6.0,6.0,16758.57,1256.89,18015.46,6449.54,2038.75,2718.33,882.0,0.0,720.0,34.0,1636.0,30858.08,1.84
202101.0,2021-01-01,100046.0,4.0,3.0,4693.43,316.81,5010.24,1793.66,566.99,755.99,882.0,320.0,380.0,34.0,1616.0,9742.88,2.08
202101.0,2021-01-01,100047.0,4.0,1.0,2503.36,155.32,2658.68,951.81,300.87,401.17,882.0,320.0,520.0,34.0,1756.0,6068.53,2.42
202101.0,2021-01-01,100049.0,12.0,5.0,17630.75,745.3,18376.05,6578.63,2079.56,2772.74,882.0,320.0,720.0,34.0,1956.0,31762.97,1.8
202101.0,2021-01-01,100050.0,4.0,7.0,19261.8,65.67,19327.47,6919.23,2187.22,2916.3,882.0,160.0,1150.0,34.0,2226.0,33576.22,1.74
202101.0,2021-01-01,100051.0,7.0,3.0,9088.98,780.83,9869.81,3533.39,1116.93,1489.24,882.0,160.0,720.0,34.0,1796.0,17805.37,1.96
202101.0,2021-01-01,100052.0,11.0,1.0,3034.88,45.52,3080.4,1102.78,348.6,464.8,882.0,160.0,380.0,34.0,1456.0,6452.59,2.13
202101.0,2021-01-01,100054.0,11.0,3.0,7332.37,134.98,7467.35,2673.31,845.06,1126.74,882.0,160.0,520.0,34.0,1596.0,13708.46,1.87
202101.0,2021-01-01,100055.0,3.0,4.0,5620.55,84.31,5704.86,2042.34,645.6,860.8,882.0,320.0,380.0,34.0,1616.0,10869.6,1.93
202101.0,2021-01-01,100056.0,10.0,2.0,4741.8,633.68,5375.48,1924.42,608.32,811.1,882.0,320.0,520.0,34.0,1756.0,10475.32,2.21
202101.0,2021-01-01,100057.0,3.0,6.0,15030.71,1742.2,16772.91,6004.7,1898.13,2530.85,882.0,0.0,720.0,34.0,1636.0,28842.59,1.92
202101.0,2021-01-01,100058.0,12.0,6.0,21162.78,2510.68,23673.46,8475.1,2679.05,3572.06,882.0,160.0,1150.0,34.0,2226.0,40625.66,1.92
202101.0,2021-01-01,100059.0,7.0,1.0,4263.51,113.37,4376.88,1566.92,495.32,660.42,882.0,0.0,380.0,34.0,1296.0,8395.54,1.97
202101.0,2021-01-01,100060.0,3.0,2.0,2755.74,278.08,3033.82,1086.11,343.33,457.77,882.0,0.0,520.0,34.0,1436.0,6357.02,2.31
202101.0,2021-01-01,100061.0,3.0,5.0,10139.72,20.74,10160.46,3637.44,1149.83,1533.1,882.0,320.0,720.0,34.0,1956.0,18436.83,1.82
202101.0,2021-01-01,100062.0,14.0,2.0,3988.68,97.9,4086.58,1463.0,462.47,616.62,882.0,320.0,380.0,34.0,1616.0,8244.67,2.07
